2279188	Zro	Zro	Zro	6.30276	-7.51229	P	PPL	CI		78				0		266	Africa/Abidjan	2014-01-10
2279189	Zriglo	Zriglo		5.63333	-7.36667	P	PPL	CI		76				0		136	Africa/Abidjan	2014-01-10
2279190	Zribouo	Zribouo		5.6	-6.1	P	PPL	CI		76				0		188	Africa/Abidjan	2014-01-10
2279191	Zribobo	Zribobo		5.14545	-5.67853	H	STM	CI		00				0		30	Africa/Abidjan	2012-02-28
2279192	Zrangouiné	Zrangouine		7.25713	-7.61862	P	PPL	CI		78				0		338	Africa/Abidjan	2011-06-05
2279193	Zangbatouo	Zangbatouo	Zangbatouo,Zrangbatouo	7.16692	-8.26736	P	PPL	CI		78				0		328	Africa/Abidjan	2012-01-17
2279194	Zraluo	Zraluo	Zraluo	7.57237	-5.88859	P	PPL	CI		96				0		302	Africa/Abidjan	2016-06-04
2279195	Zrabisséifla	Zrabisseifla		7.46806	-5.91361	P	PPL	CI		96				0		265	Africa/Abidjan	2016-06-04
2279196	Zozoro	Zozoro		5.97587	-6.51131	H	STMI	CI		76				0		182	Africa/Abidjan	2012-02-28
2279197	Zozo Oliziriboué	Zozo Oliziriboue	Zoro Oliziriboue,Zoro Oliziriboué,Zozo Oliziriboue,Zozo Oliziriboué	5.73133	-5.67773	P	PPL	CI		95				0		201	Africa/Abidjan	2016-06-04
2279198	Zozolo	Zozolo		5.79583	-6.61527	H	STM	CI		76				0		111	Africa/Abidjan	2012-02-28
2279199	Zouzoua	Zouzoua		6.55842	-6.3505	P	PPL	CI		96				0		231	Africa/Abidjan	2016-06-04
2279200	Zoutouo	Zoutouo	Zontouo,Zoutouo	7.00812	-8.24212	P	PPL	CI		78				0		271	Africa/Abidjan	2012-01-17
2279201	Zourougui	Zourougui		8.83333	-3.18333	H	STMI	CI		00				0		297	Africa/Abidjan	1994-01-04
2279202	Zoupleu	Zoupleu	Zoupleu	7.65854	-8.06695	P	PPL	CI		78				0		545	Africa/Abidjan	2012-01-17
2279203	Zoupangbeu	Zoupangbeu	Zoukpangbeu,Zoupangbe,Zoupangbeu,Zoupougbe,Zoupougbé	6.79634	-6.76506	P	PPL	CI		96				0		244	Africa/Abidjan	2016-06-04
2279204	Zou Ounon	Zou Ounon		7.1	-3.06667	H	STMI	CI		00				0		223	Africa/Abidjan	1994-01-04
2279205	Zouobo	Zouobo		7.58333	-4	H	STMI	CI		81				0		223	Africa/Abidjan	2014-01-10
2279206	Zangokro	Zangokro	Zangokro,Zoungokro	7.85	-5.57099	P	PPL	CI		90				0		244	Africa/Abidjan	2012-02-28
2279207	Zoumou	Zoumou		6.25191	-6.42877	H	STM	CI		80				0		198	Africa/Abidjan	2012-02-28
2279208	Zoumon	Zoumon	Djimo Riviere,Djimo Rivière,Zoumon	9.24945	-6.67711	H	STM	CI		87				0		369	Africa/Abidjan	2012-02-28
2279209	Zoumon	Zoumon		9.00583	-6.79972	H	STM	CI		00				0		367	Africa/Abidjan	2003-11-18
2279210	Zouméné	Zoumene		9.85044	-7.36918	H	STMI	CI		77				0		388	Africa/Abidjan	2012-02-28
2279211	Zoumènè	Zoumene		9.4464	-5.8725	P	PPL	CI		87				0		363	Africa/Abidjan	2012-02-28
2279212	Zoulo	Zoulo		8.73333	-3.88333	H	STMI	CI		00				0		229	Africa/Abidjan	1994-01-04
