amp_feature_id,name,description,code,active
1,Monitoring and Evaluation,,ME,1
2,Paris Indicators,,PI,0
3,Activity Approval,,AA,0
4,Calendar,,CL,0
5,Documents,,DC,1
6,Scenarios,,SC,0
7,MultiSector,"",MS,0
8,Activity Costing,"",AC,1
9,Logframe Builder,"",LB,1
10,Standard AMPFF,,SA,1
